btc	bt	EC_number	EC_name	3rd_lvl	reaction	evidence	rule	simple_rule
bt0001	3568	1.1.3.17	choline oxidase	1.1.3	582	R01022	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.21	aldose reductase	1.1.1	591	R01036	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.72	glycerol dehydrogenase (NADP+)	1.1.1	591	R01036	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.2	alcohol dehydrogenase (NADP+)	1.1.1	593	R01041	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.21	aldose reductase	1.1.1	593	R01041	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.72	glycerol dehydrogenase (NADP+)	1.1.1	593	R01041	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.372	D/L-glyceraldehyde reductase	1.1.1	593	R01041	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.3.9	galactose oxidase	1.1.3	641	R01099	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.91	aryl-alcohol dehydrogenase (NADP+)	1.1.1	872	R01488	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.3.7	aryl-alcohol oxidase	1.1.3	875	R01491	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.126	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase	1.1.1	905	R01543	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.59	3-hydroxypropionate dehydrogenase	1.1.1	952	R01608	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.61	4-hydroxybutyrate dehydrogenase	1.1.1	972	R01644	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.65	pyridoxine 4-dehydrogenase	1.1.1	1011	R01708	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.60	2-hydroxy-3-oxopropionate reductase	1.1.1	1036	R01745	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.60	2-hydroxy-3-oxopropionate reductase	1.1.1	1037	R01747	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.3	homoserine dehydrogenase	1.1.1	1055	R01773	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.3	homoserine dehydrogenase	1.1.1	1056	R01775	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.77	lactaldehyde reductase	1.1.1	1059	R01781	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.99.9	pyridoxine 5-dehydrogenase	1.1.99	1137	R01910	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.31	3-hydroxyisobutyrate dehydrogenase	1.1.1	1208	R02047	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.1	alcohol dehydrogenase	1.1.1	1248	R02124	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.105	all-trans-retinol dehydrogenase (NAD+)	1.1.1	1248	R02124	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.77	lactaldehyde reductase	1.1.1	1319	R02257	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.77	lactaldehyde reductase	1.1.1	1320	R02258	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.55	lactaldehyde reductase (NADPH)	1.1.1	1321	R02259	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.202	1,3-propanediol dehydrogenase	1.1.1	1397	R02377	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.164	hexadecanol dehydrogenase	1.1.1	1454	R02462	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.192	long-chain-alcohol dehydrogenase	1.1.1	1454	R02462	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.106	pantoate 4-dehydrogenase	1.1.1	1459	R02471	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.21	aldose reductase	1.1.1	1534	R02577	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.194	coniferyl-alcohol dehydrogenase	1.1.1	1541	R02593	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.195	cinnamyl-alcohol dehydrogenase	1.1.1	1541	R02593	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.90	aryl-alcohol dehydrogenase	1.1.1	1553	R02611	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.190	indole-3-acetaldehyde reductase (NADH)	1.1.1	1585	R02679	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.191	indole-3-acetaldehyde reductase (NADPH)	1.1.1	1586	R02680	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.3.38	vanillyl-alcohol oxidase	1.1.3	1682	R02877	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.1	alcohol dehydrogenase	1.1.1	1683	R02878	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.73	octanol dehydrogenase	1.1.1	1683	R02878	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.23	histidinol dehydrogenase	1.1.1	1762	R03012	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.150	21-hydroxysteroid dehydrogenase (NAD+)	1.1.1	1782	R03043	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.315	11-cis-retinol dehydrogenase	1.1.1	1786	R03048	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.-		1.1.1	1786	R03048	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.77	lactaldehyde reductase	1.1.1	1809	R03080	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.202	1,3-propanediol dehydrogenase	1.1.1	1829	R03119	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.20	glucuronolactone reductase	1.1.1	1859	R03183	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.216	farnesol dehydrogenase (NADP+)	1.1.1	1907	R03264	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.54	allyl-alcohol dehydrogenase	1.1.1	2080	R03572	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.114	apiose 1-reductase	1.1.1	2084	R03577	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.183	geraniol dehydrogenase (NADP+)	1.1.1	2086	R03581	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.66	omega-hydroxydecanoate dehydrogenase	1.1.1	2237	R03886	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.195	cinnamyl-alcohol dehydrogenase	1.1.1	2250	R03918	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.144	perillyl-alcohol dehydrogenase	1.1.1	2264	R03945	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.165	2-alkyn-1-ol dehydrogenase	1.1.1	2273	R03963	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.97	3-hydroxybenzyl-alcohol dehydrogenase	1.1.1	2357	R04136	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.90	aryl-alcohol dehydrogenase	1.1.1	2444	R04304	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.1	alcohol dehydrogenase	1.1.1	2661	R04805	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.1	alcohol dehydrogenase	1.1.1	2696	R04880	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.-		1.1.1	2724	R04919	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.31	3-hydroxyisobutyrate dehydrogenase	1.1.1	2766	R05066	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	1.1.1	2766	R05066	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
bt0001	3568	1.1.1.2	alcohol dehydrogenase (NADP+)	1.1.1	2831	R05231	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/simple-rule/24d3215b-aefa-4538-b345-16e2a5e042b1
