btc	bt	EC_number	3rd_lvl	EC_name	evidence	rule
bt0001	3568	1.1.3.17	1.1.3	choline oxidase	R01022	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.21	1.1.1	aldose reductase	R01036	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.72	1.1.1	glycerol dehydrogenase (NADP+)	R01036	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.2	1.1.1	alcohol dehydrogenase (NADP+)	R01041	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.21	1.1.1	aldose reductase	R01041	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.72	1.1.1	glycerol dehydrogenase (NADP+)	R01041	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.372	1.1.1	D/L-glyceraldehyde reductase	R01041	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.3.9	1.1.3	galactose oxidase	R01099	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.91	1.1.1	aryl-alcohol dehydrogenase (NADP+)	R01488	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.3.7	1.1.3	aryl-alcohol oxidase	R01491	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.126	1.1.1	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase	R01543	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.59	1.1.1	3-hydroxypropionate dehydrogenase	R01608	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.61	1.1.1	4-hydroxybutyrate dehydrogenase	R01644	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.65	1.1.1	pyridoxine 4-dehydrogenase	R01708	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.60	1.1.1	2-hydroxy-3-oxopropionate reductase	R01745	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.60	1.1.1	2-hydroxy-3-oxopropionate reductase	R01747	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.3	1.1.1	homoserine dehydrogenase	R01773	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.3	1.1.1	homoserine dehydrogenase	R01775	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.77	1.1.1	lactaldehyde reductase	R01781	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.99.9	1.1.99	pyridoxine 5-dehydrogenase	R01910	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.31	1.1.1	3-hydroxyisobutyrate dehydrogenase	R02047	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R02124	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.105	1.1.1	all-trans-retinol dehydrogenase (NAD+)	R02124	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.77	1.1.1	lactaldehyde reductase	R02257	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.77	1.1.1	lactaldehyde reductase	R02258	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.55	1.1.1	lactaldehyde reductase (NADPH)	R02259	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.202	1.1.1	1,3-propanediol dehydrogenase	R02377	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.164	1.1.1	hexadecanol dehydrogenase	R02462	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.192	1.1.1	long-chain-alcohol dehydrogenase	R02462	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.106	1.1.1	pantoate 4-dehydrogenase	R02471	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.21	1.1.1	aldose reductase	R02577	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.194	1.1.1	coniferyl-alcohol dehydrogenase	R02593	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.195	1.1.1	cinnamyl-alcohol dehydrogenase	R02593	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.90	1.1.1	aryl-alcohol dehydrogenase	R02611	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.190	1.1.1	indole-3-acetaldehyde reductase (NADH)	R02679	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.191	1.1.1	indole-3-acetaldehyde reductase (NADPH)	R02680	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.3.38	1.1.3	vanillyl-alcohol oxidase	R02877	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R02878	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.73	1.1.1	octanol dehydrogenase	R02878	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.23	1.1.1	histidinol dehydrogenase	R03012	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.150	1.1.1	21-hydroxysteroid dehydrogenase (NAD+)	R03043	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.315	1.1.1	11-cis-retinol dehydrogenase	R03048	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.77	1.1.1	lactaldehyde reductase	R03080	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.202	1.1.1	1,3-propanediol dehydrogenase	R03119	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.20	1.1.1	glucuronolactone reductase	R03183	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.216	1.1.1	farnesol dehydrogenase (NADP+)	R03264	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.54	1.1.1	allyl-alcohol dehydrogenase	R03572	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.114	1.1.1	apiose 1-reductase	R03577	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.183	1.1.1	geraniol dehydrogenase (NADP+)	R03581	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.66	1.1.1	omega-hydroxydecanoate dehydrogenase	R03886	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.195	1.1.1	cinnamyl-alcohol dehydrogenase	R03918	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.144	1.1.1	perillyl-alcohol dehydrogenase	R03945	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.165	1.1.1	2-alkyn-1-ol dehydrogenase	R03963	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.97	1.1.1	3-hydroxybenzyl-alcohol dehydrogenase	R04136	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.90	1.1.1	aryl-alcohol dehydrogenase	R04304	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R04805	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R04880	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.31	1.1.1	3-hydroxyisobutyrate dehydrogenase	R05066	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.35	1.1.1	3-hydroxyacyl-CoA dehydrogenase	R05066	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.2	1.1.1	alcohol dehydrogenase (NADP+)	R05231	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R05233	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R05234	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.257	1.1.1	4-(hydroxymethyl)benzenesulfonate dehydrogenase	R05271	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.90	1.1.1	aryl-alcohol dehydrogenase	R05282	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.258	1.1.1	6-hydroxyhexanoate dehydrogenase	R05283	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.90	1.1.1	aryl-alcohol dehydrogenase	R05347	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.90	1.1.1	aryl-alcohol dehydrogenase	R05348	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.265	1.1.1	3-methylbutanal reductase	R05685	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.265	1.1.1	3-methylbutanal reductase	R05686	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.3.39	1.1.3	nucleoside oxidase (H2O2-forming)	R05696	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.273	1.1.1	vellosimine dehydrogenase	R05827	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.276	1.1.1	serine 3-dehydrogenase (NADP+)	R06126	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R06917	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R06927	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.183	1.1.1	geraniol dehydrogenase (NADP+)	R08083	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.183	1.1.1	geraniol dehydrogenase (NADP+)	R08084	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.183	1.1.1	geraniol dehydrogenase (NADP+)	R08085	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.14.13.122	1.14.13	chlorophyllide-a oxygenase	R08204	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R08306	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.300	1.1.1	NADP-retinol dehydrogenase	R08379	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.315	1.1.1	11-cis-retinol dehydrogenase	R08382	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R08557	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.1	1.1.1	alcohol dehydrogenase	R08558	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.14.15.15	1.14.15	cholestanetriol 26-monooxygenase	R08758	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.14.15.15	1.14.15	cholestanetriol 26-monooxygenase	R08759	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.3.43	1.1.3	paromamine 6'-oxidase	R08896	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.3.44	1.1.3	6'''-hydroxyneomycin C oxidase	R08902	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.294	1.1.1	chlorophyll(ide) b reductase	R08914	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.294	1.1.1	chlorophyll(ide) b reductase	R08915	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.294	1.1.1	chlorophyll(ide) b reductase	R09069	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.294	1.1.1	chlorophyll(ide) b reductase	R09070	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.298	1.1.1	3-hydroxypropionate dehydrogenase (NADP+)	R09289	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.309	1.1.1	phosphonoacetaldehyde reductase (NADH)	R09478	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.317	1.1.1	perakine reductase	R09806	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.3.42	1.1.3	prosolanapyrone-II oxidase	R09807	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.324	1.1.1	8-hydroxygeraniol dehydrogenase	R09926	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.324	1.1.1	8-hydroxygeraniol dehydrogenase	R09928	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.332	1.1.1	chanoclavine-I dehydrogenase	R10128	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.347	1.1.1	geraniol dehydrogenase (NAD+)	R10308	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.354	1.1.1	farnesol dehydrogenase (NAD+)	R10412	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.373	1.1.1	sulfolactaldehyde 3-reductase	R10719	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.3.47	1.1.3	5-(hydroxymethyl)furfural oxidase	R10853	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.387	1.1.1	L-serine 3-dehydrogenase (NAD+)	R10985	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.1.1.400	1.1.1	2-methyl-1,2-propanediol dehydrogenase	R11338	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0001	3568	1.14.13.246	1.14.13	4beta-methylsterol monooxygenase	R12358	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/507b2719-da61-4793-87fc-2d4ae9c20ce9
bt0003	1196	1.1.3.23	1.1.3	thiamine oxidase	R00072	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/f64df014-1e44-484b-b0fc-af35a7425f7a
bt0003	1196	1.2.1.10	1.2.1	acetaldehyde dehydrogenase (acetylating)	R00228	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/f64df014-1e44-484b-b0fc-af35a7425f7a
bt0003	1196	1.2.1.88	1.2.1	L-glutamate gamma-semialdehyde dehydrogenase	R00245	https://envipath.org/package/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/parallel-rule/f64df014-1e44-484b-b0fc-af35a7425f7a
