R00060	1.21.3.4	sulochrin oxidase [(+)-bisdechlorogeodin-forming]	1.21.3
R00061	1.21.3.5	sulochrin oxidase [(-)-bisdechlorogeodin-forming]	1.21.3
R00063	2.3.1.103	sinapoylglucose---sinapoylglucose O-sinapoyltransferase	2.3.1
R00066	2.5.1.9	riboflavin synthase	2.5.1
R00068	1.10.3.3	L-ascorbate oxidase	1.10.3
R00069	1.14.13.-		1.14.13
R00069	1.17.3.2	xanthine oxidase	1.17.3
R00072	1.1.3.23	thiamine oxidase	1.1.3
R00074	1.10.3.4	o-aminophenol oxidase	1.10.3
R00075	2.5.1.43	nicotianamine synthase	2.5.1
R00076	2.7.11.19	phosphorylase kinase	2.7.11
R00078	1.16.3.1	ferroxidase	1.16.3
R00080	1.1.3.14	catechol oxidase (dimerizing)	1.1.3
R00080	1.10.3.1	catechol oxidase	1.10.3
R00081	1.7.2.1	nitrite reductase (NO-forming)	1.7.2
R00081	7.1.1.9	cytochrome-c oxidase	7.1.1
R00082	1.7.2.1	nitrite reductase (NO-forming)	1.7.2
R00082	7.1.1.9	cytochrome-c oxidase	7.1.1
R00084	2.5.1.61	hydroxymethylbilane synthase	2.5.1
R00085	3.6.1.5	apyrase	3.6.1
R00086	3.6.1.5	apyrase	3.6.1
R00086	3.6.1.8	ATP diphosphatase	3.6.1
R00086	3.6.1.15	nucleoside-triphosphate phosphatase	3.6.1
R00086	3.6.1.-		3.6.1
R00087	3.6.1.8	ATP diphosphatase	3.6.1
R00087	3.6.1.9	nucleotide diphosphatase	3.6.1
R00088	3.5.4.17	adenosine-phosphate deaminase	3.5.4
R00088	3.5.4.18	ATP deaminase	3.5.4
R00089	4.6.1.1	adenylate cyclase	4.6.1
R00090	1.11.1.1	NADH peroxidase	1.11.1
R00092	1.16.1.7	ferric-chelate reductase (NADH)	1.16.1
R00093	1.4.1.14	glutamate synthase (NADH)	1.4.1
R00094	1.8.1.7	glutathione-disulfide reductase	1.8.1
R00099	1.16.1.4	cob(II)alamin reductase	1.16.1
R00102	3.2.2.5	NAD+ glycohydrolase	3.2.2
R00102	3.2.2.6	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase	3.2.2
R00102	3.5.1.-		3.5.1
R00103	3.6.1.9	nucleotide diphosphatase	3.6.1
R00103	3.6.1.22	NAD+ diphosphatase	3.6.1
R00104	2.7.1.23	NAD+ kinase	2.7.1
R00105	2.7.1.86	NADH kinase	2.7.1
R00111	1.14.13.39	nitric-oxide synthase (NADPH)	1.14.13
R00112	1.6.1.1	NAD(P)+ transhydrogenase (Si-specific)	1.6.1
R00112	1.6.1.2	NAD(P)+ transhydrogenase (Re/Si-specific)	1.6.1
R00112	1.6.1.3	NAD(P)+ transhydrogenase	1.6.1
R00113	1.11.1.2	NADPH peroxidase	1.11.1
R00114	1.4.1.13	glutamate synthase (NADPH)	1.4.1
R00115	1.8.1.7	glutathione-disulfide reductase	1.8.1
R00118	3.1.3.108	nocturnin	3.1.3
R00118	3.1.3.-		3.1.3
R00119	2.4.99.20	2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase	2.4.99
R00120	1.8.3.3	glutathione oxidase	1.8.3
R00122	3.6.1.5	apyrase	3.6.1
R00123	3.5.4.7	ADP deaminase	3.5.4
R00123	3.5.4.17	adenosine-phosphate deaminase	3.5.4
R00124	2.7.4.6	nucleoside-diphosphate kinase	2.7.4
R00125	3.6.1.41	bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	3.6.1
R00126	2.7.7.53	ATP adenylyltransferase	2.7.7
R00127	2.7.4.3	adenylate kinase	2.7.4
R00128	3.6.1.14	adenosine-tetraphosphatase	3.6.1
R00129	4.2.1.93	ATP-dependent NAD(P)H-hydrate dehydratase	4.2.1
R00130	2.7.1.24	dephospho-CoA kinase	2.7.1
R00131	3.5.1.5	urease	3.5.1
R00132	4.2.1.1	carbonic anhydrase	4.2.1
R00134	1.17.1.10	formate dehydrogenase (NADP+)	1.17.1
R00137	2.7.7.1	nicotinamide-nucleotide adenylyltransferase	2.7.7
R00137	2.7.7.18	nicotinate-nucleotide adenylyltransferase	2.7.7
R00138	3.6.1.25	triphosphatase	3.6.1
R00139	2.7.4.6	nucleoside-diphosphate kinase	2.7.4
R00140	2.7.4.12	T2-induced deoxynucleotide kinase	2.7.4
R00141	2.7.3.8	ammonia kinase	2.7.3
R00143	1.7.1.10	hydroxylamine reductase (NADH)	1.7.1
R00143	1.7.99.1	hydroxylamine reductase	1.7.99
R00149	6.3.4.16	carbamoyl-phosphate synthase (ammonia)	6.3.4
R00150	2.7.2.2	carbamate kinase	2.7.2
R00152	3.5.5.-		3.5.5
R00155	3.6.1.5	apyrase	3.6.1
R00155	3.6.1.6	nucleoside diphosphate phosphatase	3.6.1
R00156	2.7.4.6	nucleoside-diphosphate kinase	2.7.4
R00157	2.7.4.10	nucleoside-triphosphate---adenylate kinase	2.7.4
R00158	2.7.4.4	nucleoside-phosphate kinase	2.7.4
R00158	2.7.4.14	UMP/CMP kinase	2.7.4
R00158	2.7.4.22	UMP kinase	2.7.4
R00159	3.6.1.5	apyrase	3.6.1
R00159	3.6.1.39	thymidine-triphosphatase	3.6.1
R00160	3.6.1.9	nucleotide diphosphatase	3.6.1
R00160	3.6.1.18	FAD diphosphatase	3.6.1
R00161	2.7.7.2	FAD synthase	2.7.7
R00162	2.7.11.1	non-specific serine/threonine protein kinase	2.7.11
R00162	2.7.11.8	Fas-activated serine/threonine kinase	2.7.11
R00162	2.7.11.9	Goodpasture-antigen-binding protein kinase	2.7.11
R00162	2.7.11.10	IkappaB kinase	2.7.11
R00162	2.7.11.11	cAMP-dependent protein kinase	2.7.11
R00162	2.7.11.12	cGMP-dependent protein kinase	2.7.11
R00162	2.7.11.13	protein kinase C	2.7.11
R00162	2.7.11.17	Ca2+/calmodulin-dependent protein kinase	2.7.11
R00162	2.7.11.21	polo kinase	2.7.11
R00162	2.7.11.22	cyclin-dependent kinase	2.7.11
R00162	2.7.11.24	mitogen-activated protein kinase	2.7.11
R00162	2.7.11.25	mitogen-activated protein kinase kinase kinase	2.7.11
R00162	2.7.11.30	receptor protein serine/threonine kinase	2.7.11
R00162	2.7.12.1	dual-specificity kinase	2.7.12
R00162	2.7.12.2	mitogen-activated protein kinase kinase	2.7.12
R00173	3.1.3.74	pyridoxal phosphatase	3.1.3
R00174	2.7.1.35	pyridoxal kinase	2.7.1
R00175	3.3.1.2	S-adenosyl-L-methionine hydrolase (L-homoserine-forming)	3.3.1
R00177	2.5.1.6	methionine adenosyltransferase	2.5.1
R00178	4.1.1.50	adenosylmethionine decarboxylase	4.1.1
R00179	4.4.1.14	1-aminocyclopropane-1-carboxylate synthase	4.4.1
R00180	2.5.1.4	adenosylmethionine cyclotransferase	2.5.1
R00181	3.5.4.6	AMP deaminase	3.5.4
R00181	3.5.4.17	adenosine-phosphate deaminase	3.5.4
R00182	3.2.2.4	AMP nucleosidase	3.2.2
R00183	3.1.3.5	5'-nucleotidase	3.1.3
R00184	3.6.1.17	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)	3.6.1
R00184	3.6.1.61	diadenosine hexaphosphate hydrolase (ATP-forming)	3.6.1
R00185	2.7.1.20	adenosine kinase	2.7.1
R00185	2.7.1.74	deoxycytidine kinase	2.7.1
R00187	3.6.1.29	bis(5'-adenosyl)-triphosphatase	3.6.1
R00188	3.1.3.7	3'(2'),5'-bisphosphate nucleotidase	3.1.3
R00188	3.1.3.97	3',5'-nucleoside bisphosphate phosphatase	3.1.3
R00189	6.3.1.5	NAD+ synthase	6.3.1
R00189	6.3.5.1	NAD+ synthase (glutamine-hydrolysing)	6.3.5
R00190	2.4.2.7	adenine phosphoribosyltransferase	2.4.2
R00190	2.4.2.8	hypoxanthine phosphoribosyltransferase	2.4.2
R00191	3.1.4.17	3',5'-cyclic-nucleotide phosphodiesterase	3.1.4
R00191	3.1.4.53	3',5'-cyclic-AMP phosphodiesterase	3.1.4
R00192	3.3.1.1	adenosylhomocysteinase	3.3.1
R00193	3.5.4.28	S-adenosylhomocysteine deaminase	3.5.4
R00194	3.2.2.9	adenosylhomocysteine nucleosidase	3.2.2
R00195	4.3.1.15	diaminopropionate ammonia-lyase	4.3.1
R00196	1.1.2.3	L-lactate dehydrogenase (cytochrome)	1.1.2
R00197	1.1.2.4	D-lactate dehydrogenase (cytochrome)	1.1.2
R00199	2.7.9.2	pyruvate, water dikinase	2.7.9
R00200	2.7.1.40	pyruvate kinase	2.7.1
R00203	1.2.1.22	lactaldehyde dehydrogenase	1.2.1
R00203	1.2.1.23	2-oxoaldehyde dehydrogenase (NAD+)	1.2.1
R00205	1.2.1.49	2-oxoaldehyde dehydrogenase (NADP+)	1.2.1
R00206	2.7.9.1	pyruvate, phosphate dikinase	2.7.9
R00207	1.2.3.3	pyruvate oxidase	1.2.3
R00208	3.1.3.60	phosphoenolpyruvate phosphatase	3.1.3
R00209	1.2.4.1	pyruvate dehydrogenase (acetyl-transferring)	1.2.4
R00209	1.8.1.4	dihydrolipoyl dehydrogenase	1.8.1
R00209	2.3.1.12	dihydrolipoyllysine-residue acetyltransferase	2.3.1
R00210	1.2.1.51	pyruvate dehydrogenase (NADP+)	1.2.1
R00211	1.2.3.6	pyruvate oxidase (CoA-acetylating)	1.2.3
R00212	2.3.1.54	formate C-acetyltransferase	2.3.1
R00213	4.3.1.13	carbamoyl-serine ammonia-lyase	4.3.1
R00214	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	1.1.1
R00214	1.1.1.39	malate dehydrogenase (decarboxylating)	1.1.1
R00215	1.1.1.83	D-malate dehydrogenase (decarboxylating)	1.1.1
R00216	1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	1.1.1
R00217	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	1.1.1
R00217	1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	1.1.1
R00217	4.1.1.112	oxaloacetate decarboxylase	4.1.1
R00218	4.1.1.78	acetylenedicarboxylate decarboxylase	4.1.1
R00219	4.1.1.-		4.1.1
R00220	4.3.1.17	L-serine ammonia-lyase	4.3.1
R00220	4.3.1.19	threonine ammonia-lyase	4.3.1
R00221	4.3.1.18	D-serine ammonia-lyase	4.3.1
R00223	4.3.1.15	diaminopropionate ammonia-lyase	4.3.1
R00224	4.1.1.1	pyruvate decarboxylase	4.1.1
R00226	2.2.1.6	acetolactate synthase	2.2.1
R00227	3.1.2.1	acetyl-CoA hydrolase	3.1.2
R00228	1.2.1.10	acetaldehyde dehydrogenase (acetylating)	1.2.1
R00229	6.2.1.13	acetate---CoA ligase (ADP-forming)	6.2.1
R00230	2.3.1.8	phosphate acetyltransferase	2.3.1
R00233	4.1.1.9	malonyl-CoA decarboxylase	4.1.1
R00235	6.2.1.1	acetate---CoA ligase	6.2.1
R00236	6.2.1.1	acetate---CoA ligase	6.2.1
R00237	4.1.3.25	(S)-citramalyl-CoA lyase	4.1.3
R00238	2.3.1.9	acetyl-CoA C-acetyltransferase	2.3.1
R00238	2.3.1.16	acetyl-CoA C-acyltransferase	2.3.1
R00239	2.7.2.11	glutamate 5-kinase	2.7.2
R00243	1.4.1.2	glutamate dehydrogenase	1.4.1
R00243	1.4.1.3	glutamate dehydrogenase [NAD(P)+]	1.4.1
R00243	1.4.1.14	glutamate synthase (NADH)	1.4.1
R00245	1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase	1.2.1
R00248	1.4.1.3	glutamate dehydrogenase [NAD(P)+]	1.4.1
R00248	1.4.1.4	glutamate dehydrogenase (NADP+)	1.4.1
R00248	1.4.1.13	glutamate synthase (NADPH)	1.4.1
R00250	1.4.3.11	L-glutamate oxidase	1.4.3
R00251	3.5.2.9	5-oxoprolinase (ATP-hydrolysing)	3.5.2
R00253	6.3.1.2	glutamine synthetase	6.3.1
R00254	3.5.1.87	N-carbamoyl-L-amino-acid hydrolase	3.5.1
R00256	1.4.1.13	glutamate synthase (NADPH)	1.4.1
R00256	1.4.1.14	glutamate synthase (NADH)	1.4.1
R00256	1.4.7.1	glutamate synthase (ferredoxin)	1.4.7
R00256	3.5.1.2	glutaminase	3.5.1
R00256	3.5.1.38	glutamin-(asparagin-)ase	3.5.1
R00256	4.3.2.10	imidazole glycerol-phosphate synthase	4.3.2
R00256	4.3.3.6	pyridoxal 5'-phosphate synthase (glutamine hydrolysing)	4.3.3
R00256	6.3.4.2	CTP synthase (glutamine hydrolysing)	6.3.4
R00256	6.3.5.2	GMP synthase (glutamine-hydrolysing)	6.3.5
R00256	6.3.5.4	asparagine synthase (glutamine-hydrolysing)	6.3.5
R00256	6.3.5.5	carbamoyl-phosphate synthase (glutamine-hydrolysing)	6.3.5
R00256	6.3.5.13	lipid II isoglutaminyl synthase (glutamine-hydrolysing)	6.3.5
R00257	6.3.5.1	NAD+ synthase (glutamine-hydrolysing)	6.3.5
R00258	2.6.1.2	alanine transaminase	2.6.1
R00259	2.3.1.1	amino-acid N-acetyltransferase	2.3.1
R00260	5.1.1.3	glutamate racemase	5.1.1
R00261	4.1.1.15	glutamate decarboxylase	4.1.1
R00262	5.4.99.1	methylaspartate mutase	5.4.99
R00264	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R00264	1.2.1.26	2,5-dioxovalerate dehydrogenase	1.2.1
R00265	1.2.1.52	oxoglutarate dehydrogenase (NADP+)	1.2.1
R00267	1.1.1.42	isocitrate dehydrogenase (NADP+)	1.1.1
R00268	1.1.1.42	isocitrate dehydrogenase (NADP+)	1.1.1
R00269	3.5.1.3	omega-amidase	3.5.1
R00269	3.5.1.111	2-oxoglutaramate amidase	3.5.1
R00271	2.3.3.14	homocitrate synthase	2.3.3
R00272	4.1.1.71	2-oxoglutarate decarboxylase	4.1.1
R00273	1.2.3.4	oxalate oxidase	1.2.3
R00274	1.11.1.9	glutathione peroxidase	1.11.1
R00275	1.15.1.1	superoxide dismutase	1.15.1
R00277	1.4.3.5	pyridoxal 5'-phosphate synthase	1.4.3
R00278	1.4.3.5	pyridoxal 5'-phosphate synthase	1.4.3
R00279	1.4.3.7	D-glutamate oxidase	1.4.3
R00279	1.4.3.15	D-glutamate(D-aspartate) oxidase	1.4.3
R00280	1.7.2.1	nitrite reductase (NO-forming)	1.7.2
R00283	1.3.7.8	benzoyl-CoA reductase	1.3.7
R00286	1.1.1.22	UDP-glucose 6-dehydrogenase	1.1.1
R00287	3.6.1.8	ATP diphosphatase	3.6.1
R00287	3.6.1.9	nucleotide diphosphatase	3.6.1
R00287	3.6.1.45	UDP-sugar diphosphatase	3.6.1
R00289	2.7.7.9	UTP---glucose-1-phosphate uridylyltransferase	2.7.7
R00289	2.7.7.64	UTP-monosaccharide-1-phosphate uridylyltransferase	2.7.7
R00291	5.1.3.2	UDP-glucose 4-epimerase	5.1.3
R00293	4.2.1.76	UDP-glucose 4,6-dehydratase	4.2.1
R00294	1.7.2.5	nitric oxide reductase (cytochrome c)	1.7.2
R00299	2.7.1.1	hexokinase	2.7.1
R00299	2.7.1.2	glucokinase	2.7.1
R00300	1.1.1.118	glucose 1-dehydrogenase (NAD+)	1.1.1
R00300	1.1.1.121	aldose 1-dehydrogenase (NAD+)	1.1.1
R00301	1.1.1.119	glucose 1-dehydrogenase (NADP+)	1.1.1
R00302	1.1.3.10	pyranose oxidase	1.1.3
R00303	3.1.3.9	glucose-6-phosphatase	3.1.3
R00303	3.1.3.58	sugar-terminal-phosphatase	3.1.3
R00304	3.1.3.10	glucose-1-phosphatase	3.1.3
R00306	3.2.1.21	beta-glucosidase	3.2.1
R00306	3.2.1.74	glucan 1,4-beta-glucosidase	3.2.1
R00307	5.3.1.5	xylose isomerase	5.3.1
R00308	3.2.1.39	glucan endo-1,3-beta-D-glucosidase	3.2.1
R00308	3.2.1.58	glucan 1,3-beta-glucosidase	3.2.1
R00310	4.99.1.1	protoporphyrin ferrochelatase	4.99.1
R00315	2.7.2.1	acetate kinase	2.7.2
R00315	2.7.2.15	propionate kinase	2.7.2
R00316	6.2.1.1	acetate---CoA ligase	6.2.1
R00317	3.6.1.7	acylphosphatase	3.6.1
R00318	3.11.1.2	phosphonoacetate hydrolase	3.11.1
R00319	1.13.12.4	lactate 2-monooxygenase	1.13.12
R00320	2.7.2.12	acetate kinase (diphosphate)	2.7.2
R00321	3.5.1.4	amidase	3.5.1
R00322	3.6.1.20	5'-acylphosphoadenosine hydrolase	3.6.1
R00324	3.7.1.6	acetylpyruvate hydrolase	3.7.1
R00325	4.1.3.22	citramalate lyase	4.1.3
R00327	3.1.1.33	6-acetylglucose deacetylase	3.1.1
R00328	3.6.1.5	apyrase	3.6.1
R00328	3.6.1.6	nucleoside diphosphate phosphatase	3.6.1
R00328	3.6.1.42	guanosine-diphosphatase	3.6.1
R00330	2.7.4.6	nucleoside-diphosphate kinase	2.7.4
R00332	2.7.4.8	guanylate kinase	2.7.4
R00335	3.6.1.5	apyrase	3.6.1
R00335	3.6.5.1	heterotrimeric G-protein GTPase	3.6.5
R00335	3.6.5.2	small monomeric GTPase	3.6.5
R00335	3.6.5.3	protein-synthesizing GTPase	3.6.5
R00335	3.6.5.4	signal-recognition-particle GTPase	3.6.5
R00335	3.6.5.5	dynamin GTPase	3.6.5
R00335	3.6.5.6	tubulin GTPase	3.6.5
R00336	3.1.7.2	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	3.1.7
R00337	3.2.1.42	GDP-glucosidase	3.2.1
R00338	3.7.1.1	oxaloacetase	3.7.1
R00339	4.2.1.32	L(+)-tartrate dehydratase	4.2.1
R00340	4.2.1.81	D(-)-tartrate dehydratase	4.2.1
R00341	4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)	4.1.1
R00342	1.1.1.37	malate dehydrogenase	1.1.1
R00342	1.1.1.299	malate dehydrogenase [NAD(P)+]	1.1.1
R00343	1.1.1.82	malate dehydrogenase (NADP+)	1.1.1
R00343	1.1.1.299	malate dehydrogenase [NAD(P)+]	1.1.1
R00344	6.4.1.1	pyruvate carboxylase	6.4.1
R00345	4.1.1.31	phosphoenolpyruvate carboxylase	4.1.1
R00346	4.1.1.38	phosphoenolpyruvate carboxykinase (diphosphate)	4.1.1
R00347	4.3.1.20	erythro-3-hydroxy-L-aspartate ammonia-lyase	4.3.1
R00348	3.5.1.3	omega-amidase	3.5.1
R00350	4.1.3.17	4-hydroxy-4-methyl-2-oxoglutarate aldolase	4.1.3
R00351	2.3.3.1	citrate (Si)-synthase	2.3.3
R00351	2.3.3.3	citrate (Re)-synthase	2.3.3
R00351	2.3.3.16	citrate synthase (unknown stereospecificity)	2.3.3
R00352	2.3.3.8	ATP citrate synthase	2.3.3
R00353	2.1.3.1	methylmalonyl-CoA carboxytransferase	2.1.3
R00355	2.6.1.1	aspartate transaminase	2.6.1
R00357	1.4.3.2	L-amino-acid oxidase	1.4.3
R00357	1.4.3.16	L-aspartate oxidase	1.4.3
R00359	1.4.3.1	D-aspartate oxidase	1.4.3
R00359	1.4.3.15	D-glutamate(D-aspartate) oxidase	1.4.3
R00360	1.1.5.4	malate dehydrogenase (quinone)	1.1.5
R00362	4.1.3.6	citrate (pro-3S)-lyase	4.1.3
R00363	5.3.2.2	oxaloacetate tautomerase	5.3.2
R00364	1.4.2.1	glycine dehydrogenase (cytochrome)	1.4.2
R00365	1.4.1.1	alanine dehydrogenase	1.4.1
R00365	1.4.1.10	glycine dehydrogenase	1.4.1
R00366	1.4.3.3	D-amino-acid oxidase	1.4.3
R00366	1.4.3.19	glycine oxidase	1.4.3
R00367	2.1.1.20	glycine N-methyltransferase	2.1.1
R00367	2.1.1.156	glycine/sarcosine N-methyltransferase	2.1.1
R00367	2.1.1.162	glycine/sarcosine/dimethylglycine N-methyltransferase	2.1.1
R00368	1.5.1.22	strombine dehydrogenase	1.5.1
R00369	2.6.1.44	alanine---glyoxylate transaminase	2.6.1
R00371	2.3.1.29	glycine C-acetyltransferase	2.3.1
R00372	2.6.1.4	glycine transaminase	2.6.1
R00372	2.6.1.44	alanine---glyoxylate transaminase	2.6.1
R00373	2.6.1.35	glycine---oxaloacetate transaminase	2.6.1
R00375	2.7.7.7	DNA-directed DNA polymerase	2.7.7
R00376	2.7.7.7	DNA-directed DNA polymerase	2.7.7
R00377	2.7.7.7	DNA-directed DNA polymerase	2.7.7
R00378	2.7.7.7	DNA-directed DNA polymerase	2.7.7
R00381	6.5.1.1	DNA ligase (ATP)	6.5.1
R00381	6.5.1.6	DNA ligase (ATP or NAD+)	6.5.1
R00381	6.5.1.7	DNA ligase (ATP, ADP or GTP)	6.5.1
R00382	6.5.1.2	DNA ligase (NAD+)	6.5.1
R00382	6.5.1.6	DNA ligase (ATP or NAD+)	6.5.1
R00396	1.4.1.1	alanine dehydrogenase	1.4.1
R00397	4.1.1.12	aspartate 4-decarboxylase	4.1.1
R00398	1.5.1.17	alanopine dehydrogenase	1.5.1
R00399	2.3.1.263	2-amino-4-oxopentanoate thiolase	2.3.1
R00400	2.6.1.12	alanine---oxo-acid transaminase	2.6.1
R00401	5.1.1.1	alanine racemase	5.1.1
R00402	1.3.1.6	fumarate reductase (NADH)	1.3.1
R00405	6.2.1.5	succinate---CoA ligase (ADP-forming)	6.2.1
R00406	2.8.3.22	succinyl-CoA---L-malate CoA-transferase	2.8.3
R00407	3.1.2.3	succinyl-CoA hydrolase	3.1.2
R00409	4.1.3.30	methylisocitrate lyase	4.1.3
R00410	2.8.3.5	3-oxoacid CoA-transferase	2.8.3
R00411	3.5.1.96	succinylglutamate desuccinylase	3.5.1
R00414	3.2.1.183	UDP-N-acetylglucosamine 2-epimerase (hydrolysing)	3.2.1
R00414	5.1.3.14	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)	5.1.3
R00416	2.7.7.23	UDP-N-acetylglucosamine diphosphorylase	2.7.7
R00418	5.1.3.2	UDP-glucose 4-epimerase	5.1.3
R00418	5.1.3.7	UDP-N-acetylglucosamine 4-epimerase	5.1.3
R00420	5.1.3.14	UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing)	5.1.3
R00421	1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	1.1.1
R00424	3.5.4.16	GTP cyclohydrolase I	3.5.4
R00425	3.5.4.25	GTP cyclohydrolase II	3.5.4
R00426	3.6.1.8	ATP diphosphatase	3.6.1
R00426	3.6.1.-		3.6.1
R00428	3.5.4.16	GTP cyclohydrolase I	3.5.4
R00429	2.7.6.5	GTP diphosphokinase	2.7.6
R00430	2.7.1.40	pyruvate kinase	2.7.1
R00431	4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)	4.1.1
R00432	6.2.1.4	succinate---CoA ligase (GDP-forming)	6.2.1
R00434	4.6.1.1	adenylate cyclase	4.6.1
R00434	4.6.1.2	guanylate cyclase	4.6.1
R00435	2.7.7.6	DNA-directed RNA polymerase	2.7.7
R00435	2.7.7.19	polynucleotide adenylyltransferase	2.7.7
R00435	2.7.7.48	RNA-directed RNA polymerase	2.7.7
R00437	2.7.7.8	polyribonucleotide nucleotidyltransferase	2.7.7
R00438	2.7.7.8	polyribonucleotide nucleotidyltransferase	2.7.7
R00439	2.7.7.8	polyribonucleotide nucleotidyltransferase	2.7.7
R00440	2.7.7.8	polyribonucleotide nucleotidyltransferase	2.7.7
R00441	2.7.7.6	DNA-directed RNA polymerase	2.7.7
R00441	2.7.7.48	RNA-directed RNA polymerase	2.7.7
R00442	2.7.7.6	DNA-directed RNA polymerase	2.7.7
R00442	2.7.7.48	RNA-directed RNA polymerase	2.7.7
R00443	2.7.7.6	DNA-directed RNA polymerase	2.7.7
R00443	2.7.7.48	RNA-directed RNA polymerase	2.7.7
R00443	2.7.7.52	RNA uridylyltransferase	2.7.7
R00445	1.4.1.15	lysine dehydrogenase	1.4.1
R00446	1.4.1.18	lysine 6-dehydrogenase	1.4.1
R00447	1.4.3.14	L-lysine oxidase	1.4.3
R00448	1.14.13.59	L-lysine N6-monooxygenase (NADPH)	1.14.13
R00449	1.13.12.2	lysine 2-monooxygenase	1.13.12
R00451	4.1.1.20	diaminopimelate decarboxylase	4.1.1
R00452	1.5.1.16	D-lysopine dehydrogenase	1.5.1
R00453	2.6.1.71	lysine---pyruvate 6-transaminase	2.6.1
R00454	2.3.1.-		2.3.1
R00457	2.6.1.36	L-lysine 6-transaminase	2.6.1
R00458	3.5.1.17	acyl-lysine deacylase	3.5.1
R00460	5.1.1.5	lysine racemase	5.1.1
R00460	5.1.1.9	arginine racemase	5.1.1
R00461	5.4.3.2	lysine 2,3-aminomutase	5.4.3
R00462	4.1.1.18	lysine decarboxylase	4.1.1
R00463	3.5.2.11	L-lysine-lactamase	3.5.2
